iso,name,longitude,latitude,region,lendingType,incomeLevel,ugo_Assist,ugo_SocIns,ugo_Labor,ugo_Status
GRC,Greece,23.7166,37.9792,ECS,LNX,HIC,1.0,1.0,,4.0
GRD,Grenada,-61.7449,12.0653,LCN,IDB,UMC,,,,
GRL,Greenland,-51.7214,64.1836,ECS,LNX,HIC,,,,
GTM,Guatemala,-90.5328,14.6248,LCN,IBD,UMC,1.0,,,1.0
GUM,Guam,144.794,13.4443,EAS,LNX,HIC,,,,
GUY,Guyana,-58.1548,6.80461,LCN,IDX,UMC,,,,
HKG,"Hong Kong SAR, China",114.109,22.3964,EAS,LNX,HIC,1.0,,,1.0
HND,Honduras,-87.4667,15.1333,LCN,IDX,LMC,,,,
HRV,Croatia,15.9614,45.8069,ECS,IBD,HIC,,,,
HTI,Haiti,-72.3288,18.5392,LCN,IDX,LIC,,,,
HUN,Hungary,19.0408,47.4984,ECS,LNX,HIC,1.0,1.0,1.0,4.0
IDN,Indonesia,106.83,-6.19752,EAS,IBD,LMC,1.0,,,1.0
IMN,Isle of Man,-4.47928,54.1509,ECS,LNX,HIC,,,,
IND,India,77.225,28.6353,SAS,IBD,LMC,1.0,1.0,1.0,4.0
IRL,Ireland,-6.26749,53.3441,ECS,LNX,HIC,1.0,1.0,,4.0
IRN,"Iran, Islamic Rep.",51.4447,35.6878,MEA,IBD,UMC,1.0,,,1.0
IRQ,Iraq,44.394,33.3302,MEA,IBD,UMC,,,,
ISL,Iceland,-21.8952,64.1353,ECS,LNX,HIC,1.0,,,1.0
ISR,Israel,35.2035,31.7717,MEA,LNX,HIC,,1.0,,2.0
ITA,Italy,12.4823,41.8955,ECS,LNX,HIC,1.0,1.0,1.0,4.0
JAM,Jamaica,-76.792,17.9927,LCN,IBD,UMC,1.0,,1.0,4.0
JOR,Jordan,35.9263,31.9497,MEA,IBD,UMC,1.0,1.0,,4.0
JPN,Japan,139.77,35.67,EAS,LNX,HIC,1.0,1.0,,4.0
KAZ,Kazakhstan,71.4382,51.1879,ECS,IBD,UMC,1.0,,,1.0
KEN,Kenya,36.8126,-1.27975,SSF,IDB,LMC,1.0,,,1.0
KGZ,Kyrgyz Republic,74.6057,42.8851,ECS,IDX,LMC,,,,
KHM,Cambodia,104.874,11.5556,EAS,IDX,LMC,,,,
KIR,Kiribati,172.979,1.32905,EAS,IDX,LMC,,,,
KNA,St. Kitts and Nevis,-62.7309,17.3,LCN,IBD,HIC,,1.0,,2.0
KOR,"Korea, Rep.",126.957,37.5323,EAS,LNX,HIC,1.0,1.0,1.0,4.0
KWT,Kuwait,47.9824,29.3721,MEA,LNX,HIC,,,,
LAO,Lao PDR,102.177,18.5826,EAS,IDX,LMC,,,,
LBN,Lebanon,35.5134,33.8872,MEA,IBD,UMC,1.0,1.0,,4.0
LBR,Liberia,-10.7957,6.30039,SSF,IDX,LIC,,,,
LBY,Libya,13.1072,32.8578,MEA,IBD,UMC,,,,
LCA,St. Lucia,-60.9832,14.0,LCN,IDB,UMC,,,,
LIE,Liechtenstein,9.52148,47.1411,ECS,LNX,HIC,,,,
